authorMeta/fans,authorMeta/name,collectCount,commentCount,createTimeISO,diggCount,isSponsored,locationMeta/city,locationMeta/locationName,shareCount,text,videoMeta/duration,webVideoUrl,playCount,brand,hour,day
25200,jeanstummy,17,4,2024-12-20 13:05:58+00:00,103,False,South Tangerang,"Janji Jiwa, Ruko Golden Madrid BSD",13,"maafkan saya janji jiwa selama ini aku underestimate kamuuu😢😢 ternyata dark chocolate peppermint kamu ini #MUSTTRY lohh!!

for the price ini sih udah enak banget banget menurut guaa…

#coffee #kopi #chocolate #peppermint #darkchocolate #darkchoco #minuman ",43,https://www.tiktok.com/@jeanstummy/video/7450479559750814982,20200,Janji Jiwa,13,Friday
1925,anitafajarr,5,2,2025-07-01 01:35:49+00:00,22,False,Kota Karawang,Kopi Janji Jiwa & Jiwa Toast - Ruko Tuparev,49,"Ketagihan beli kopi di Janji jiwa
#janjijiwa #kopijanjijiwa #janjijiwatoast #kopi 
#promotiktok #karawang #karawangtiktok #jelajahbegah ",15,https://www.tiktok.com/@anitafajarr/video/7521921075702418694,6543,Janji Jiwa,1,Tuesday
2279,puhh.milk,1,0,2025-04-02 04:46:23+00:00,23,False,Unknown,Unknown,1,"Ngelanjutin bagian sebelumnya, tapi kali ini spill location 📍
#rekomendasicoffeeshop #janjijiwa #fypage #jelajahcafe #goodcoffee  #ttpetualangnewbie #jakartacity #coffeetiktok #voucher  ",31,https://www.tiktok.com/@puhh.milk/video/7488572601464409362,553,Janji Jiwa,4,Wednesday
3529,fikandini_,17,0,2025-07-19 13:11:41+00:00,83,False,Jakarta,Kopi Janji Jiwa & Jiwa Toast - Sunter,15,#kopijanjijiwa #janjijiwa #jiwatoast #kopi #coffee #sunter #jakarta #jakartautara ,22,https://www.tiktok.com/@fikandini_/video/7528780016239398151,14100,Janji Jiwa,13,Saturday
42,wijayaq1704,0,1,2022-07-26 09:13:19+00:00,31,False,Unknown,Unknown,0,coffee dulu lah guys☕️      #kopilovers #pencitakopi☕ #pencitakopiindonesia😍😍 #baristalife #barista #baristaindonesia #baristalovers☕️💛,21,https://www.tiktok.com/@wijayaq1704/video/7124606829086149915,1503,Janji Jiwa,9,Tuesday
43000,noppya03_,16,1,2025-06-18 09:26:27+00:00,47,False,Jakarta,Kopi Janji Jiwa & Jiwa Toast - Kramat Jaya Koja,3,Kopi Janji Jiwa 2 kopi cuma 20 ribu? Tonton sampe akhir biar tau cara dpt diskonnya 🥳 #janjijiwa #kopijanjijiwa #jajanantiktok #kopi #jajananviral #diskontiktok #coffe #fyp ,30,https://www.tiktok.com/@noppya03_/video/7517218331473054984,10900,Janji Jiwa,9,Wednesday
6276,yesjejee,11,1,2025-04-29 15:39:12+00:00,130,False,Surabaya,Kopi Janji Jiwa & Jiwa Toast - Ruko Rungkut,10,buat varian tertentu yahh🥰✨👍🏻 #janjijiwa #cafesurabayatimur ,12,https://www.tiktok.com/@yesjejee/video/7498760124081753351,23700,Janji Jiwa,15,Tuesday
13400,oreyosoftcake,37,2,2025-04-07 14:53:03+00:00,192,False,Grobogan Regency,Kopi Janji Jiwa & Jiwa Toast - Hayam Wuruk Purwodadi,27,#janjijiwa #janjijiwatoast #janjijiwacoffee #janjijiwapromo #janjijiwatiktok #kulinerpurwodadi #kulinerpurwodadigrobogan #kulinerpurwodadiviral #kulinerpurwodadifyp #kulinerpurwodadi🍝🍸🍴 #kulinerpurwodadirecommended ,0,https://www.tiktok.com/@oreyosoftcake/video/7490584364972002578,27400,Janji Jiwa,14,Monday
756,dwiefeibry,4,1,2025-02-26 05:37:07+00:00,186,False,Batam,Batam Island,2,@Kopi Janji Jiwa #janjijiwacoffee #fyp ,16,https://www.tiktok.com/@dwiefeibry/video/7475597693759343890,2782,Janji Jiwa,5,Wednesday
5150,nurlindaamrin,0,7,2023-08-19 04:57:47+00:00,177,False,Morowali Regency,Keurea,0,.#janjijiwacoffee #keureabahodopimorowali😉 #agustusmerdeka #SerunyaIndonesia #Serunya17an #CapCut #bahodopihits🤗 #fypシ゚viral🖤video ,10,https://www.tiktok.com/@nurlindaamrin/video/7268893121881050374,1042,Janji Jiwa,4,Saturday
8965,anandaputri6098,7,9,2024-01-19 03:36:18+00:00,173,False,Morowali Regency,Keurea,0,"secape ini
#morowali_sulteng_bahodopi 
#cewekbaristaoutfit 
#fypシ 
#janjijiwa #janjijiwacoffee #keureabahodopimorowali ",26,https://www.tiktok.com/@anandaputri6098/video/7325648151195569414,3067,Janji Jiwa,3,Friday
2834,magami.id,26,0,2025-05-28 22:00:25+00:00,170,False,Purworejo,Kopi Janji Jiwa & Jiwa Toast - Ruko Mayjen Soetoyo Purworejo,6,Klik tag lokasi di video ini. Lalu pilih minuman yg di inginkan. Lakukan pembayaran. Tukarkan QR codenya ke outlet janji jiwa purworejo #janjijiwa #janjijiwatoast #janjijiwacoffee #promotiktok #purworejo #purworejo24jam #purworejojateng #purworejohits #fypシ゚ ,18,https://www.tiktok.com/@magami.id/video/7509619818430090552,32500,Janji Jiwa,22,Wednesday
