authorMeta/fans,authorMeta/name,collectCount,commentCount,createTimeISO,diggCount,isSponsored,locationMeta/city,locationMeta/locationName,shareCount,text,videoMeta/duration,webVideoUrl,playCount,brand
1475,bude.ilah,9,6,29/07/2025 10.39,125,False,Cilacap,Kopi Janji Jiwa & Jiwa Toast - Anjasmoro Cilacap,19,Arah coffe janji jiwa di jl rinjani #janjijiwa #coffe #cilacap #gajiansale #kontentanpamodal ,23,https://www.tiktok.com/@bude.ilah/video/7532343427493596472,25500,Janji Jiwa
2089,omwahyudi_,14,4,15/07/2025 07.08,76,False,Jepara,Kopi Janji Jiwa & Jiwa Toast - Jepara Soekarno,44,janji jiwa promo hemat klik tag lokasi #gopayditokopedia #promo #promotiktok #tiktokgo #jepara #coffee #janjijiwa #coffeshop #coffeetime ,16,https://www.tiktok.com/@omwahyudi_/video/7527093883226934546,23400,Janji Jiwa
11700,mamihzayn03,5,1,16/07/2025 12.24,248,False,Tangerang City,Kopi Janji Jiwa & Jiwa Toast - Ruko Sangiang,4,"Cuss klik dan nikmatin promonya????
#janjijiwa #janjijiwatoast #janjijiwacoffee #promotiktok ",16,https://www.tiktok.com/@mamihzayn03/video/7527546432874695941,4684,Janji Jiwa
954,sigittirawann,2,2,13/12/2021 09.44,103,False,Unknown,Pringsewu,0,#disponsori rame kenapa #fyp? #janjijiwa #janjijiwacoffee,17,https://www.tiktok.com/@sigittirawann/video/7041012537399217409,455,Janji Jiwa
2189,paracetamol1119,0,0,05/08/2025 23.22,4,False,Cianjur,Kopi Janji Jiwa & Jiwa Toast - Ruko Ciranjang,0,"Lebih murah pakai voucher tiktok, cek di tag lokasinya #janjijiwa #janjijiwacoffee #promotiktokjanjijiwa #promotiktok #affiliate #janjijiwaciranjang #ciranjang #fyp #fyppppppppppppppppppppppp ",8,https://www.tiktok.com/@paracetamol1119/video/7535137577117043986,397,Janji Jiwa
1789,antihungryclub,0,0,05/08/2025 07.56,21,False,Jakarta,Kopi Janji Jiwa & Jiwa Toast - MKG 3,0,"KOPI JANJI JIWA MURAH BANGET ??

Soalnya, kalau beli lewat TikTok, kalian udah bisa dapet kopi ukuran large tapi, harganya cuma 16ribu.

Yuk, buruan klik tag lokasi di bawah ^^.

#promoseruweekend #promomakangajian #diningsuperpromo #janjijiwa #kopijanjijiwa #promotiktok .",19,https://www.tiktok.com/@antihungryclub/video/7534898927477312775,534,Janji Jiwa
11400,shofiiiiiaaaaa,4,3,06/05/2025 18.15,201,False,Jakarta,Kopi Janji Jiwa & Jiwa Toast - MKG 3,0,"Toast + kopi janji jiwa cuma 40 ribuan aja anti ribet, anti antri dan hemat pake voucher tiktok. Klaim voucher nya sekarang jangan sampai kelewatan promonya #jejaknusantara #BalapNgunyahSampaiBegah #jelajahbegah #jelajahhepi #MurahNikmatLezat #jelajahkuliner #promotiktok #kulinerku #kulinertiktok  #placestovisit #placetogojkt #fyp #rekomendasicafe #ootd  #couple  #jelajahdiskon #ngedate #dateidea #promomakangajian #makangajian #kulinerhemat #food #streetfood #jajantiktok #kulinerindonesia #janjijiwacoffee #janjijiwa #promojanjijiwa #discountjanjijiwa #diskonjanjijiwa ",36,https://www.tiktok.com/@shofiiiiiaaaaa/video/7501289502900555009,2250,Janji Jiwa
1448,exploresampit,4,2,03/05/2025 20.38,22,False,East Kotawaringin Regency,"Kopi Janji Jiwa & Jiwa Toast, Rahadi Usman",4,Salah satu Cafe & Coffee shop nyaman di kota sampit Janji Jiwa. Menu rekomendasi kopi susu & toast.,24,https://www.tiktok.com/@exploresampit/video/7500213294603586824,3376,Janji Jiwa
212,janji.jiwa.978.am,0,1,26/05/2025 19.09,35,False,Ambon,"Kopi Janji Jiwa, Tulukabessy",0,"Nyesselll bangett ??

#kopijanjijiwa978 #baristakonten #baristalife #fyp #kontenhiburanfyp #janjijiwacoffee #baristadaily ",15,https://www.tiktok.com/@janji.jiwa.978.am/video/7508725476710518022,775,Janji Jiwa
2424,liaalfiah27,11,0,17/07/2025 21.33,104,False,Cianjur,Kopi Janji Jiwa & Jiwa Toast - Cianjur Arief Rahman,21,"Cinta banget ini enakn murah 
#janjijiwa #janjijiwatoast #kopi #coffeetime #food #promo #promotiktok ",14,https://www.tiktok.com/@liaalfiah27/video/7528058928136080645,24800,Janji Jiwa
